,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
1,ushuaia,-54.81,-68.31,43.81,52.0,0.0,9.66
2,sola,58.89,5.65,53.6,81.0,75.0,14.99
3,east london,-33.02,27.91,57.2,76.0,0.0,3.36
4,clyde river,70.47,-68.59,26.6,73.0,75.0,3.36
5,port alfred,-33.59,26.89,63.82,88.0,0.0,6.98
6,airai,-8.93,125.41,62.2,85.0,0.0,1.61
7,katsuura,33.93,134.5,64.45,100.0,92.0,4.85
8,arlit,18.74,7.39,90.19,14.0,0.0,2.62
9,upernavik,72.79,-56.15,33.67,100.0,80.0,22.97
10,hilo,19.71,-155.08,80.06,71.0,1.0,13.13
11,punta arenas,-53.16,-70.91,48.2,36.0,0.0,17.22
13,mutum,-19.82,-41.44,84.7,45.0,0.0,7.43
14,carnarvon,-30.97,22.13,56.53,22.0,0.0,8.1
15,dalaba,10.69,-12.25,71.02,97.0,48.0,1.95
16,broken hill,-31.97,141.45,47.89,63.0,0.0,3.62
17,seydi,13.34,7.75,84.79,46.0,0.0,5.64
18,jamestown,-33.21,138.6,42.22,44.0,0.0,2.84
19,butaritari,3.07,172.79,83.26,100.0,0.0,5.75
20,kapaa,22.08,-159.32,76.5,100.0,40.0,13.87
22,nagato,34.35,131.14,67.98,64.0,75.0,12.75
23,isangel,-19.55,169.27,68.41,100.0,92.0,26.78
25,qaanaaq,77.48,-69.36,21.07,100.0,20.0,8.32
26,nehe,48.48,124.88,41.59,72.0,0.0,5.19
27,newport,51.59,-3.0,60.04,67.0,0.0,4.7
28,yichang,30.77,111.32,62.2,96.0,92.0,4.97
29,cherskiy,68.75,161.3,23.41,99.0,12.0,2.73
30,biu,10.61,12.19,76.87,72.0,88.0,2.06
31,sechura,-5.56,-80.82,74.17,89.0,0.0,10.45
32,port elizabeth,39.31,-74.98,83.08,72.0,40.0,8.05
33,rikitea,-23.12,-134.97,71.65,100.0,8.0,22.86
34,bonthe,7.53,-12.5,81.01,89.0,36.0,4.97
35,beyneu,45.32,55.19,70.39,30.0,48.0,12.35
36,nyrob,60.74,56.73,48.07,82.0,92.0,13.8
38,panjakent,39.5,67.61,68.0,34.0,92.0,4.7
39,rawson,-43.3,-65.11,51.76,50.0,8.0,7.76
40,fosses,49.1,2.51,58.53,42.0,0.0,5.82
41,ribeira grande,38.52,-28.7,77.0,73.0,20.0,17.22
43,cape town,-33.93,18.42,59.0,77.0,75.0,18.34
44,tuatapere,-46.13,167.69,44.47,100.0,92.0,11.12
45,flinders,-34.58,150.85,44.6,100.0,0.0,10.29
46,caravelas,-17.73,-39.27,76.69,100.0,0.0,15.26
47,chuy,-33.69,-53.46,70.39,100.0,8.0,8.43
48,west wendover,40.74,-114.07,60.98,6.0,1.0,5.82
49,cidreira,-30.17,-50.22,75.61,88.0,56.0,5.97
50,bluff,-23.58,149.07,60.94,86.0,0.0,7.87
51,peniche,39.36,-9.38,80.64,65.0,0.0,6.93
52,mataura,-46.19,168.86,42.94,82.0,92.0,10.22
53,atuona,-9.8,-139.03,78.76,100.0,0.0,12.68
54,sitka,37.17,-99.65,60.49,54.0,92.0,4.74
56,mount isa,-20.73,139.49,75.2,20.0,48.0,10.29
58,new norfolk,-42.78,147.06,42.8,70.0,0.0,8.05
59,albany,42.65,-73.75,77.23,71.0,75.0,16.11
60,tocopilla,-22.09,-70.2,63.82,93.0,0.0,3.74
63,georgetown,6.8,-58.16,93.2,59.0,40.0,2.17
64,saint-philippe,45.36,-73.48,71.17,94.0,90.0,14.99
65,barrow,-38.31,-60.23,58.33,58.0,76.0,13.24
67,pevek,69.7,170.27,36.91,100.0,36.0,7.76
68,porbandar,21.64,69.61,77.41,89.0,0.0,7.76
70,narsaq,60.91,-46.05,39.2,55.0,40.0,5.82
71,puerto ayacucho,5.66,-67.63,91.4,59.0,40.0,4.7
72,vestmannaeyjar,63.44,-20.27,44.6,75.0,40.0,10.29
73,akdepe,42.05,59.39,60.8,48.0,0.0,6.93
74,margate,-43.03,147.26,42.8,70.0,0.0,8.05
75,sao joao da barra,-21.64,-41.05,82.4,58.0,0.0,25.28
76,ribas do rio pardo,-20.45,-53.76,91.81,43.0,20.0,10.45
77,bontang,0.12,117.47,80.83,99.0,0.0,10.0
78,busselton,-33.64,115.35,52.66,100.0,24.0,8.55
79,puerto cabezas,14.04,-83.39,82.4,83.0,40.0,6.93
80,saint-louis,47.59,7.56,57.49,76.0,0.0,2.24
81,tual,-5.67,132.75,80.47,98.0,48.0,14.92
82,lompoc,34.64,-120.46,63.64,77.0,0.0,3.36
84,porgera,-5.46,143.15,53.11,97.0,76.0,1.95
85,nusaybin,37.08,41.21,78.8,44.0,0.0,6.93
86,lebu,8.96,38.73,59.59,48.0,20.0,5.3
87,ponta do sol,-20.63,-46.0,90.01,33.0,8.0,6.98
88,omsukchan,62.53,155.8,11.17,65.0,20.0,2.51
89,beboto,8.27,16.94,81.73,72.0,0.0,2.73
90,campbell river,50.02,-125.24,58.26,67.0,40.0,12.75
91,ajdabiya,30.75,20.22,78.22,67.0,8.0,6.53
92,meulaboh,4.14,96.13,78.58,100.0,36.0,3.96
93,sarkand,45.41,79.91,37.99,82.0,0.0,2.39
94,mattru,7.62,-11.83,79.21,93.0,56.0,5.41
95,salina cruz,16.18,-95.2,92.17,44.0,24.0,11.01
96,ondjiva,-17.07,15.73,77.41,30.0,0.0,4.97
97,ketchikan,55.34,-131.65,53.65,93.0,90.0,13.87
98,palembang,-2.99,104.76,76.42,80.0,0.0,3.62
99,hobart,-42.88,147.33,42.8,70.0,0.0,8.05
100,chokurdakh,70.62,147.9,31.87,95.0,48.0,9.44
101,waconia,44.85,-93.79,57.92,43.0,40.0,9.17
102,zheleznodorozhnyy,55.75,38.0,46.85,61.0,0.0,8.95
104,hasaki,35.73,140.83,59.0,100.0,75.0,14.99
105,iquique,-20.22,-70.14,66.2,63.0,0.0,10.29
106,ilulissat,69.22,-51.1,33.8,69.0,75.0,17.22
110,victoria point,-27.58,153.3,58.42,100.0,20.0,5.82
111,kodiak,39.95,-94.76,66.92,33.0,1.0,8.05
112,vila franca do campo,37.72,-25.43,75.2,78.0,20.0,18.34
113,vidim,50.47,14.53,52.68,46.0,0.0,4.7
114,nikolskoye,59.7,30.79,50.0,93.0,75.0,8.95
115,zhigansk,66.77,123.37,40.51,96.0,92.0,2.62
116,jiwani,25.05,61.74,77.68,96.0,0.0,4.74
117,ypsonas,34.69,32.96,75.67,78.0,20.0,4.7
118,yellowknife,62.45,-114.38,33.8,69.0,75.0,19.46
119,taybad,34.74,60.78,62.2,42.0,0.0,8.55
120,mount gambier,-37.83,140.78,49.15,67.0,0.0,6.53
121,thinadhoo,0.53,72.93,81.73,100.0,92.0,16.6
122,kaitangata,-46.28,169.85,42.04,87.0,56.0,14.47
125,kahului,20.89,-156.47,79.2,79.0,20.0,2.06
126,skibbereen,51.55,-9.27,55.4,93.0,20.0,6.93
128,akdagmadeni,39.66,35.88,45.82,80.0,24.0,10.33
129,shelburne,44.08,-80.2,64.94,52.0,40.0,20.8
130,leningradskiy,69.38,178.42,38.17,100.0,0.0,12.24
131,buraydah,26.33,43.97,98.6,20.0,40.0,6.93
132,vaini,15.34,74.49,71.83,96.0,64.0,1.72
133,chacabuco,-34.64,-60.47,73.27,57.0,76.0,14.03
136,lagoa,37.14,-8.45,80.6,65.0,0.0,9.17
137,pandan,11.72,122.09,82.0,100.0,48.0,19.51
138,longyearbyen,78.22,15.63,17.29,100.0,24.0,2.39
139,thompson,55.74,-97.86,42.8,52.0,75.0,3.4
140,esperance,10.24,-61.45,86.0,70.0,20.0,14.99
141,victoria,5.28,115.24,78.8,94.0,75.0,4.97
142,kavaratti,10.57,72.64,83.35,100.0,12.0,10.33
143,simplicio mendes,-7.85,-41.91,98.29,28.0,0.0,10.0
145,finale ligure,44.17,8.34,66.79,39.0,20.0,5.82
146,deputatskiy,69.3,139.9,24.94,91.0,76.0,5.75
147,umm lajj,25.02,37.27,83.26,94.0,0.0,3.85
148,geraldton,49.72,-86.95,42.8,93.0,90.0,3.36
149,evensk,61.92,159.24,37.54,100.0,0.0,11.68
150,mareeba,-16.99,145.42,64.4,88.0,20.0,10.29
151,meadow lake,54.13,-108.44,55.4,47.0,75.0,25.28
152,los llanos de aridane,28.66,-17.92,75.2,83.0,20.0,9.17
153,saldanha,41.42,-6.55,76.96,40.0,24.0,2.06
154,richards bay,-28.77,32.06,67.24,81.0,20.0,4.74
155,saskylakh,71.97,114.09,25.57,90.0,0.0,8.66
156,baherden,38.44,57.43,66.61,48.0,0.0,5.75
157,hithadhoo,-0.6,73.08,79.84,100.0,56.0,10.89
158,camacupa,-12.02,17.48,69.94,74.0,20.0,0.49
159,pacific grove,36.62,-121.92,63.36,74.0,40.0,3.36
160,acapulco,16.86,-99.88,84.2,74.0,75.0,8.05
161,pisco,-13.71,-76.2,71.6,30.0,90.0,9.17
162,fayetteville,36.06,-94.16,63.1,51.0,90.0,4.7
163,nevelsk,46.67,141.86,32.0,100.0,40.0,2.24
164,sao gabriel da cachoeira,-0.13,-67.09,89.6,59.0,20.0,2.24
165,kutoarjo,-7.72,109.9,69.76,99.0,32.0,2.95
166,college,64.86,-147.8,43.47,96.0,75.0,3.36
167,vostok,46.45,135.83,30.52,86.0,0.0,2.39
168,morehead,38.18,-83.43,71.96,87.0,75.0,3.36
169,namatanai,-3.66,152.44,82.27,100.0,56.0,11.79
170,san patricio,-26.98,-56.83,72.91,92.0,92.0,4.18
171,salalah,17.01,54.1,78.8,74.0,0.0,3.36
172,manyana,-35.26,150.51,52.93,100.0,8.0,5.75
173,tasiilaq,65.61,-37.64,37.4,74.0,75.0,8.05
174,aksu,52.04,76.93,50.0,87.0,0.0,3.62
175,mar del plata,-46.43,-67.52,49.15,65.0,20.0,10.78
177,sambava,-14.27,50.17,75.16,100.0,92.0,16.15
178,linqiong,30.42,103.46,69.8,73.0,20.0,2.24
180,nago,45.88,10.89,59.07,54.0,0.0,2.24
181,nantucket,41.28,-70.1,74.97,84.0,20.0,14.99
182,nong han,17.36,103.11,80.11,86.0,68.0,2.28
185,marsa matruh,31.35,27.25,77.0,69.0,75.0,6.93
186,provideniya,64.42,-173.23,46.54,99.0,92.0,10.78
187,le port,42.87,1.37,58.15,58.0,0.0,1.5
188,khatanga,71.98,102.47,26.65,90.0,0.0,13.24
189,faanui,-16.48,-151.75,77.68,100.0,0.0,14.03
190,aqtobe,50.28,57.21,60.8,43.0,92.0,8.95
191,lethem,3.38,-59.8,94.24,56.0,0.0,3.85
192,yar-sale,66.83,70.83,54.46,84.0,56.0,18.28
193,eenhana,-17.48,16.34,78.76,26.0,0.0,5.3
194,charters towers,-20.07,146.27,59.59,91.0,0.0,4.07
195,aklavik,68.22,-135.01,27.05,68.0,75.0,4.7
196,ayr,55.46,-4.63,60.8,87.0,75.0,9.17
197,amahai,-3.31,129.0,80.65,100.0,20.0,11.56
198,hermanus,-34.42,19.24,59.86,61.0,0.0,11.45
199,kijang,35.24,129.21,59.0,72.0,0.0,6.93
200,iqaluit,63.75,-68.52,37.4,64.0,75.0,5.82
201,vila velha,-3.71,-38.6,84.2,66.0,20.0,19.46
202,aasiaat,68.71,-52.87,36.1,100.0,92.0,18.72
204,deep river,46.1,-77.49,69.8,52.0,20.0,19.46
205,praia da vitoria,38.73,-27.07,77.0,78.0,75.0,20.07
206,makakilo city,21.35,-158.09,80.85,93.0,75.0,6.93
207,bredasdorp,-34.53,20.04,68.0,42.0,8.0,12.75
208,paamiut,61.99,-49.67,38.89,99.0,92.0,19.06
209,columbus,32.46,-84.99,88.12,57.0,75.0,6.93
210,griffith,-34.29,146.06,49.06,81.0,0.0,9.1
211,castro,-42.48,-73.76,51.76,70.0,92.0,4.52
212,verkhoyansk,67.55,133.39,26.29,88.0,76.0,6.64
213,la paz,24.15,-110.32,89.6,49.0,75.0,6.93
214,villacarrillo,38.12,-3.08,69.76,62.0,20.0,11.45
216,ancud,-41.87,-73.83,53.29,59.0,92.0,5.97
217,abha,18.22,42.5,76.14,22.0,0.0,14.99
218,prince rupert,54.32,-130.32,51.8,100.0,90.0,11.41
219,klaksvik,62.23,-6.59,48.2,81.0,75.0,12.75
220,irtyshskiy,58.33,68.13,60.13,52.0,0.0,11.23
221,grimshaw,56.19,-117.61,48.2,70.0,90.0,5.82
223,puerto ayora,-0.74,-90.35,82.4,58.0,40.0,19.46
224,nome,30.04,-94.42,87.13,66.0,40.0,3.36
225,tiksi,71.64,128.87,32.86,95.0,88.0,10.33
226,churapcha,62.0,132.43,36.37,92.0,44.0,3.74
227,praia,-20.25,-43.81,83.73,39.0,20.0,6.93
229,grand gaube,-20.01,57.66,73.4,69.0,40.0,12.75
230,mahebourg,-20.41,57.7,73.4,69.0,40.0,12.75
231,luderitz,-26.65,15.16,57.16,77.0,0.0,18.16
232,nanakuli,21.39,-158.15,80.85,100.0,90.0,4.7
233,bowen,-20.01,148.25,71.83,100.0,8.0,14.25
234,adre,13.47,22.2,78.76,53.0,56.0,5.64
236,adet,11.26,37.49,55.72,94.0,48.0,2.95
238,port hardy,50.7,-127.42,55.4,87.0,40.0,5.82
239,constitucion,23.99,-104.67,75.2,44.0,40.0,3.36
240,amapa,15.09,-87.97,87.8,62.0,75.0,9.17
241,mikuni,36.22,136.15,62.6,88.0,75.0,5.82
242,gold coast,-28.0,153.41,60.8,93.0,90.0,4.7
243,yagodnoye,62.52,149.63,28.09,93.0,80.0,2.17
244,marystown,47.17,-55.16,54.91,78.0,48.0,18.39
245,shimoda,34.7,138.93,64.4,100.0,75.0,1.12
246,ormara,25.21,64.64,79.66,92.0,20.0,11.23
247,yulara,-25.24,130.99,53.6,25.0,0.0,5.82
248,bella vista,-28.51,-59.05,76.24,82.0,64.0,9.55
249,harper,30.3,-99.24,77.16,63.0,40.0,14.99
250,alta floresta,-9.87,-56.08,93.2,41.0,20.0,3.36
251,sao felix do xingu,-6.64,-51.99,87.94,66.0,36.0,2.62
252,chicama,-7.84,-79.15,66.2,77.0,0.0,13.87
253,puerto leguizamo,-0.19,-74.78,84.88,71.0,68.0,2.62
254,thanh hoa,10.21,106.33,78.4,96.0,24.0,8.21
255,chegutu,-18.13,30.15,75.16,34.0,8.0,6.76
256,severo-kurilsk,50.68,156.12,46.27,100.0,0.0,16.71
257,batemans bay,-35.71,150.18,47.26,100.0,24.0,2.84
258,grindavik,63.84,-22.43,43.75,70.0,75.0,10.29
259,kapit,2.02,112.94,71.2,99.0,32.0,1.61
260,bambous virieux,-20.34,57.76,73.4,69.0,40.0,12.75
261,bubaque,11.28,-15.83,83.44,98.0,12.0,12.46
263,chifeng,42.27,118.96,42.31,91.0,0.0,5.19
264,ulkan,57.24,107.32,40.06,99.0,68.0,3.18
265,arraial do cabo,-22.97,-42.02,81.52,74.0,0.0,32.21
266,salym,60.06,71.48,59.95,61.0,0.0,10.33
267,adrar,27.87,-0.29,95.0,24.0,40.0,14.99
268,mehamn,71.03,27.85,33.01,98.0,0.0,3.36
269,igrim,63.19,64.42,58.69,55.0,20.0,12.01
270,yunyang,32.84,110.81,54.37,100.0,88.0,2.62
272,tres arroyos,-38.38,-60.28,58.33,58.0,76.0,13.24
273,chino valley,34.76,-112.45,79.43,19.0,20.0,4.7
274,kamenka,53.19,44.05,39.34,79.0,0.0,7.09
275,kruisfontein,-34.0,24.73,58.24,92.0,0.0,2.17
276,paita,-5.09,-81.11,62.6,290.0,0.0,13.87
277,oranjestad,12.52,-70.03,84.2,74.0,20.0,16.11
278,marabba,12.35,32.18,82.0,60.0,8.0,4.29
279,nara,34.68,135.8,64.4,93.0,75.0,8.05
280,kirovskiy,45.09,133.51,35.92,83.0,0.0,2.17
281,awjilah,29.14,21.3,86.41,39.0,36.0,8.88
282,parrita,9.52,-84.33,77.9,78.0,75.0,8.05
283,kirakira,-10.46,161.92,76.06,100.0,100.0,13.91
284,vestmanna,62.16,-7.17,48.2,81.0,75.0,12.75
285,laguna,27.52,-110.01,89.6,49.0,5.0,5.82
286,haines junction,60.75,-137.51,34.3,74.0,64.0,2.28
287,roebourne,-20.77,117.15,73.99,27.0,0.0,11.68
288,palmer,61.6,-149.11,42.66,78.0,1.0,5.82
289,dingle,11.0,122.67,79.66,73.0,64.0,8.88
290,pangkalanbuun,-2.68,111.62,69.4,90.0,8.0,2.62
291,lujan,-46.57,-67.67,46.63,93.0,12.0,10.56
294,bakchar,57.02,82.07,53.02,97.0,0.0,4.97
295,nanortalik,60.14,-45.24,38.53,94.0,92.0,14.14
296,labuhan,-2.54,115.51,71.11,87.0,0.0,2.39
297,marsh harbour,26.54,-77.06,85.87,95.0,0.0,14.7
298,lieksa,63.32,30.02,43.57,98.0,92.0,8.21
299,endicott,42.1,-76.05,72.63,84.0,90.0,8.05
300,monte aprazivel,-20.77,-49.71,95.0,24.0,20.0,4.7
301,bilibino,68.06,166.44,25.39,90.0,68.0,3.51
302,kununurra,-15.77,128.74,68.0,82.0,0.0,6.08
303,liku,-0.73,119.89,78.49,97.0,20.0,2.06
304,launceston,-41.43,147.14,37.4,93.0,75.0,2.84
305,archidona,-0.91,-77.81,65.26,100.0,80.0,3.62
